date,close
2025-01-01,100.0
2025-01-02,100.71
2025-01-03,101.43
2025-01-04,102.13
2025-01-05,102.82
2025-01-06,103.5
2025-01-07,104.16
2025-01-08,104.8
2025-01-09,105.42
2025-01-10,106.01
2025-01-11,106.56
2025-01-12,107.09
2025-01-13,107.58
2025-01-14,108.03
2025-01-15,108.44
2025-01-16,108.81
2025-01-17,109.14
2025-01-18,109.42
2025-01-19,109.66
2025-01-20,109.85
2025-01-21,110.0
2025-01-22,110.09
2025-01-23,110.14
2025-01-24,110.14
2025-01-25,110.1
2025-01-26,110.01
2025-01-27,109.87
2025-01-28,109.7
2025-01-29,109.48
2025-01-30,109.22
2025-01-31,108.92
2025-02-01,108.59
2025-02-02,108.23
2025-02-03,107.84
2025-02-04,107.42
2025-02-05,106.97
2025-02-06,106.51
2025-02-07,106.03
2025-02-08,105.53
2025-02-09,105.03
2025-02-10,104.52
2025-02-11,104.0
2025-02-12,103.49
2025-02-13,102.98
2025-02-14,102.47
2025-02-15,101.98
2025-02-16,101.51
2025-02-17,101.05
2025-02-18,100.61
2025-02-19,100.2
2025-02-20,99.82
2025-02-21,99.47
2025-02-22,99.15
2025-02-23,98.86
2025-02-24,98.62
2025-02-25,98.41
2025-02-26,98.25
2025-02-27,98.13
2025-02-28,98.05
2025-03-01,98.02
2025-03-02,98.04
2025-03-03,98.1
2025-03-04,98.21
2025-03-05,98.37
2025-03-06,98.58
2025-03-07,98.83
2025-03-08,99.13
2025-03-09,99.47
2025-03-10,99.85
2025-03-11,100.28
2025-03-12,100.74
2025-03-13,101.24
2025-03-14,101.78
2025-03-15,102.35
2025-03-16,102.94
2025-03-17,103.57
2025-03-18,104.21
2025-03-19,104.88
2025-03-20,105.56
2025-03-21,106.26
2025-03-22,106.97
2025-03-23,107.68
2025-03-24,108.4
2025-03-25,109.11
2025-03-26,109.82
2025-03-27,110.52
2025-03-28,111.21
2025-03-29,111.88
2025-03-30,112.54
2025-03-31,113.17
2025-04-01,113.78
2025-04-02,114.36
2025-04-03,114.9
2025-04-04,115.42
2025-04-05,115.9
2025-04-06,116.34
2025-04-07,116.73
2025-04-08,117.09
2025-04-09,117.41
2025-04-10,117.67
2025-04-11,117.9
2025-04-12,118.07
2025-04-13,118.2
2025-04-14,118.28
2025-04-15,118.31
2025-04-16,118.3
2025-04-17,118.24
2025-04-18,118.14
2025-04-19,117.99
2025-04-20,117.8
2025-04-21,117.57
2025-04-22,117.3
2025-04-23,116.99
2025-04-24,116.65
2025-04-25,116.28
2025-04-26,115.87
2025-04-27,115.45
2025-04-28,115.0
2025-04-29,114.53
2025-04-30,114.04
2025-05-01,113.54
2025-05-02,113.03
2025-05-03,112.52
2025-05-04,112.01
2025-05-05,111.49
2025-05-06,110.98
2025-05-07,110.49
2025-05-08,110.0
2025-05-09,109.53
2025-05-10,109.08
2025-05-11,108.65
2025-05-12,108.24
2025-05-13,107.87
2025-05-14,107.53
2025-05-15,107.22
2025-05-16,106.95
2025-05-17,106.71
2025-05-18,106.52
2025-05-19,106.37
2025-05-20,106.27
2025-05-21,106.2
2025-05-22,106.19
2025-05-23,106.22
2025-05-24,106.3
2025-05-25,106.43
2025-05-26,106.6
2025-05-27,106.82
2025-05-28,107.09
2025-05-29,107.4
2025-05-30,107.75
2025-05-31,108.15
2025-06-01,108.59
2025-06-02,109.06
2025-06-03,109.58
2025-06-04,110.12
2025-06-05,110.7
2025-06-06,111.31
2025-06-07,111.94
2025-06-08,112.59
2025-06-09,113.27
